# For:  AD Model Builder: using automatic differentiation for statistical inference of highly parameterized complex nonlinear models ||||||||||||||||||||||||||
# Timespan=2012-2017. Indexes=SCI-EXPANDED| ESCI| A&HCI| SSCI| CPCI-SSH| CPCI-S.|||||||||||||||||||||
#||||||||||||||||||||||||||
Title|Authors|Corporate Authors|Editors|Book Editors|Source Title|Publication Date|Publication Year|Volume|Issue|Part Number|Supplement|Special Issue|Beginning Page|Ending Page|Article Number|DOI|Conference Title|Conference Date|Total Citations|Average per Year|2012|2013|2014|2015|2016|2017
Temporal cycles and spatial asynchrony in the reproduction and growth of a rare nectarless orchid, Cypripedium calceolus|Hurskainen, Sonja; Jakalaniemi, Anne; Kaitala, Veijo; Kull, Tiiu; Motlep, Marilin; Ramula, Satu; Tuomi, Juha||||BOTANICAL JOURNAL OF THE LINNEAN SOCIETY|FEB 1 2017|2017|183|2||||316|326||10.1093/botlinnean/bow008                                                       |||0|0|0|0|0|0|0|0
Stick or twist: roe deer adjust their flight behaviour to the perceived trade-off between risk and reward|Bonnot, Nadege C.; Hewison, A. J. Mark; Morellet, Nicolas; Gaillard, Jean-Michel; Debeffe, Lucie; Couriot, Ophelie; Cargnelutti, Bruno; Chaval, Yannick; Lourtet, Bruno; Kjellander, Petter; Vanpe, Cecile||||ANIMAL BEHAVIOUR|FEB 2017|2017|124|||||35|46||10.1016/j.anbehav.2016.11.031|||0|0|0|0|0|0|0|0
A negative association between bromadiolone exposure and nestling body condition in common kestrels: management implications for vole outbreaks|Martinez-Padilla, Jesus; Lopez-Idiaquez, David; Lopez-Perea, Jhon J.; Mateo, Rafael; Paz, Alfonso; Vinuela, Javier||||PEST MANAGEMENT SCIENCE|FEB 2017|2017|73|2||||364|370||10.1002/ps.4435|||0|0|0|0|0|0|0|0
A sequential approach to calibrate ecosystem models with multiple time series data|Oliveros-Ramos, Ricardo; Verley, Philippe; Echevin, Vincent; Shin, Yunne-Jai||||PROGRESS IN OCEANOGRAPHY|FEB 2017|2017|151|||||227|244||10.1016/j.pocean.2017.01.002|||2|1|0|0|0|0|0|2
Effects of driving anger on driver behavior - Results from naturalistic driving data|Precht, Lisa; Keinath, Andreas; Krems, Josef F.||||TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR|FEB 2017|2017|45|||||75|92||10.1016/j.trf.2016.10.019|||3|1.5|0|0|0|0|0|3
Patterns and correlates of claims for brown bear damage on a continental scale|Bautista, Carlos; Naves, Javier; Revilla, Eloy; Fernandez, Nestor; Albrecht, Jorg; Scharf, Anne K.; Rigg, Robin; Karamanlidis, Alexandros A.; Jerina, Klemen; Huber, Djuro; Palazon, Santiago; Kont, Raido; Ciucci, Paolo; Groff, Claudio; Dutsov, Aleksandar; Seijas, Juan; Quenette, Pierre-Ives; Olszanska, Agnieszka; Shkvyria, Maryna; Adamec, Michal; Ozolins, Janis; Jonozovic, Marko; Selva, Nuria||||JOURNAL OF APPLIED ECOLOGY|FEB 2017|2017|54|1||||282|292||10.1111/1365-2664.12708|||10|5|0|0|0|0|0|10
Potential energy gain by whales outside of the Antarctic: prey preferences and consumption rates of migrating humpback whales (Megaptera novaeangliae)|Owen, Kylie; Kavanagh, Ailbhe S.; Warren, Joseph D.; Noad, Michael J.; Donnelly, David; Goldizen, Anne W.; Dunlop, Rebecca A.||||POLAR BIOLOGY|FEB 2017|2017|40|2||||277|289||10.1007/s00300-016-1951-9|||2|1|0|0|0|0|1|1
Effects of variable retention harvesting on natural tree regeneration in Pinus resinosa (red pine) forests|Roberts, Margaret W.; D'Amato, Anthony W.; Kern, Christel C.; Palik, Brian J.||||FOREST ECOLOGY AND MANAGEMENT|FEB 1 2017|2017|385|||||104|115||10.1016/j.foreco.2016.11.025|||0|0|0|0|0|0|0|0
Contrasting response of vascular plant and bryophyte species assemblages to a soil-disturbing ecosystem engineer in calcareous grasslands|Streitberger, Merle; Schmidt, Carsten; Fartmann, Thomas||||ECOLOGICAL ENGINEERING|FEB 2017|2017|99|||||391|399||10.1016/j.ecoleng.2016.11.037|||0|0|0|0|0|0|0|0
Statistical behavior of retrospective patterns and their effects on estimation of stock and harvest status|Miller, Timothy J.; Legault, Christopher M.||||FISHERIES RESEARCH|FEB 2017|2017|186||1|||109|120||10.1016/j.fishres.2016.08.002|||0|0|0|0|0|0|0|0
Rapid evolution of dispersal ability makes biological invasions faster and more variable|Ochocki, Brad M.; Miller, Tom E. X.||||Nature Communications|JAN 27 2017|2017|8|||||||14315|10.1038/ncomms14315|||4|2|0|0|0|0|0|4
Market forces influence helping behaviour in cooperatively breeding paper wasps|Grinsted, Lena; Field, Jeremy||||NATURE COMMUNICATIONS|JAN 24 2017|2017|8|||||||13750|10.1038/ncomms13750|||1|0.5|0|0|0|0|0|1
The Extraordinary Nature of Barney's Drumming: A Complementary Study of Ordinary Noise Making in Chimpanzees|Dufour, Valerie; Pasquaretta, Cristian; Gayet, Pierre; Sterck, Elisabeth H. M.||||FRONTIERS IN NEUROSCIENCE|JAN 19 2017|2017|11|||||||2|10.3389/fnins.2017.00002|||0|0|0|0|0|0|0|0
Viability and germinability in long term storage of Corylus avellana pollen|Novara, Cristina; Ascari, Lorenzo; La Morgia, Valentina; Reale, Luisella; Genre, Andrea; Siniscalco, Consolata||||SCIENTIA HORTICULTURAE|JAN 5 2017|2017|214|||||295|303||10.1016/j.scienta.2016.11.042|||2|1|0|0|0|0|0|1
Estimating the Size Selectivity of Trap Nets using a Gill-Net Selectivity Experiment: Method Development and Application to Lake Whitefish in Lake Huron|Zhao, Yingming; Morbey, Yolanda E.||||NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT|2017|2017|37|6||||1341|1349||10.1080/02755947.2017.1381206|||0|0|0|0|0|0|0|0
LAMP: Data Provenance for Graph Based Machine Learning Algorithms through Derivative Computation|Ma, Shiqing; Aafer, Yousra; Xu, Zhaogui; Lee, Wen-Chuan; Zhai, Juan; Liu, Yingqi; Zhang, Xiangyu|||Bodden, E; Schafer, W; VanDeursen, A; Zisman, A|ESEC/FSE 2017: PROCEEDINGS OF THE 2017 11TH JOINT MEETING ON FOUNDATIONS OF SOFTWARE ENGINEERING|2017|2017||||||786|797||10.1145/3106237.3106291|11th Joint Meeting of European Software Engineering Conference (ESEC) / ACM SIGSOFT Symposium on the Foundations of Software Engineering (FSE)|SEP 04-08, 2017|0|0|0|0|0|0|0|0
Modelling the distribution of fish around an artificial reef|Smith, James A.; Cornwell, William K.; Lowry, Michael B.; Suthers, Iain M.||||MARINE AND FRESHWATER RESEARCH|2017|2017|68|10||||1955|1964||10.1071/MF16019|||0|0|0|0|0|0|0|0
Spatial abundance pattern of a common soil arthropod changes suddenly with season in a tropical rainforest|Costa Lima Pequeno, Pedro Aurelio; Franklin, Elizabeth; Norton, Roy A.; de Morais, Jose Wellington; Guilherme, Diego R.||||PEDOBIOLOGIA|2017|2017|63|||||46|51||10.1016/j.pedobi.2017.07.002|||0|0|0|0|0|0|0|0
DECADE-LONG PLANT COMMUNITY RESPONSES TO SHRUBLAND FUEL HAZARD REDUCTION|Wilkin, Katherine M.; Ponisio, Lauren C.; Fry, Danny L.; Tubbesing, Carmen L.; Potts, Jennifer B.; Stephens, Scott L.||||FIRE ECOLOGY|2017|2017|13|2||||105|136||10.4996/fireecology.130210513|||0|0|0|0|0|0|0|0
Recreational Postrelease Mortality of Lake Trout in Lakes Superior and Huron|Sitar, Shawn P.; Brenden, Travis O.; He, Ji X.; Johnson, James E.||||NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT|2017|2017|37|4||||789|808||10.1080/02755947.2017.1327903|||0|0|0|0|0|0|0|0
Using Variance Structure to Quantify Responses to Perturbation in Fish Catches|Vidal, Tiffany E.; Irwin, Brian J.; Wagner, Tyler; Rudstam, Lars G.; Jackson, James R.; Bence, James R.||||TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY|2017|2017|146|4||||584|593||10.1080/00028487.2017.1301992|||0|0|0|0|0|0|0|0
Estimating Total Mortality Rates from Mean Lengths and Catch Rates in Nonequilibrium Situations|Huynh, Quang C.; Gedamke, Todd; Porch, Clay E.; Hoenig, John M.; Walter, John F.; Bryan, Meaghan; Brodziak, Jon||||TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY|2017|2017|146|4||||803|815||10.1080/00028487.2017.1308881|||1|0.5|0|0|0|0|0|1
Rice straw mulch for post-fire erosion control: assessing non-target effects on vegetation communities|Shive, Kristen L.; Estes, Becky L.; White, Angela M.; Safford, Hugh D.; O'Hara, Kevin L.; Stephens, Scott L.||||INTERNATIONAL JOURNAL OF WILDLAND FIRE|2017|2017|26|6||||538|550||10.1071/WF16208|||0|0|0|0|0|0|0|0
Investigations into the distribution of sample sizes for determining age composition of multiple species|Hulson, Peter-John F.; Hanselman, Dana H.; Shotwell, S. Kalei||||FISHERY BULLETIN|2017|2017|115|3||||326|342||10.7755/FB.115.3.4|||0|0|0|0|0|0|0|0
Plant species selection by sheep in semi-natural dry grasslands extensively grazed in the south-western Italian Alps|Pittarello, Marco; Gorlier, Alessandra; Lombardi, Giampiero; Lonati, Michele||||RANGELAND JOURNAL|2017|2017|39|2||||123|131||10.1071/RJ16068|||0|0|0|0|0|0|0|0
Programming With Models: Writing Statistical Algorithms for General Model Structures With NIMBLE|de Valpine, Perry; Turek, Daniel; Paciorek, Christopher J.; Anderson-Bergman, Clifford; Lang, Duncan Temple; Bodik, Rastislav||||JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS|2017|2017|26|2||||403|413||10.1080/10618600.2016.1172487|||1|0.5|0|0|0|0|0|1
Flexible Bayesian analysis of the von Bertalanffy growth function with the use of a log-skew-t distribution|Lopez Quintero, Freddy Omar; Contreras-Reyes, Javier E.; Wiff, Rodrigo; Arellano-Valle, Reinaldo B.||||FISHERY BULLETIN|2017|2017|115|1||||13|26||10.7755/FB.115.1.2|||3|1.5|0|0|0|0|0|3
Incidental bycatch of northern fulmars in the small-vessel demersal longline fishery for Greenland halibut in coastal Norway 2012-2014|Fangel, Kirstin; Brum, Kim Magnus; Christensen-Dalsgaard, Signe; Aas, Oystein; Anker-Nilssen, Tycho||||ICES JOURNAL OF MARINE SCIENCE|JAN-FEB 2017|2017|74|1||||332|342||10.1093/icesjms/fsw149|||0|0|0|0|0|0|0|0
Large- and small-scale environmental factors drive distributions of cool-adapted plants in karstic microrefugia|Batori, Zoltan; Vojtko, Andras; Farkas, Tunde; Szabo, Anna; Havadtoi, Krisztina; Vojtko, Anna E.; Tolgyesi, Csaba; Cseh, Viktoria; Erdos, Laszlo; Maak, Istvan Elek; Keppel, Gunnar||||ANNALS OF BOTANY|JAN 2017|2017|119|2||||301|309||10.1093/aob/mcw233|||1|0.5|0|0|0|0|0|1
THE ROLE OF STUBBLE TYPE AND SPILLED SEED BIOMASS ON THE ABUNDANCE OF SEED-EATING BIRDS IN AGROECOSYSTEMS|Zufiaurre, Emmanuel; Codesido, Mariano; Abba, Agustin M.; Bilenca, David||||ARDEOLA|JAN 2017|2017|64|1||||31|48||10.13157/arla.64.1.2017.ra3|||0|0|0|0|0|0|0|0
Migratory response of polar bears to sea ice loss: to swim or not to swim|Pilfold, Nicholas W.; McCall, Alysa; Derocher, Andrew E.; Lunn, Nicholas J.; Richardson, Evan||||ECOGRAPHY|JAN 2017|2017|40|1||||189|199||10.1111/ecog.02109|||7|3.5|0|0|0|0|2|5
A Point Mutation in a Herpesvirus Co-Determines Neuropathogenicity and Viral Shedding|Franz, Mathias; Goodman, Laura B.; Van de Walle, Gerlinde R.; Osterrieder, Nikolaus; Greenwood, Alex D.||||VIRUSES-BASEL|JAN 2017|2017|9|1||||||6|10.3390/v9010006|||1|0.5|0|0|0|0|0|1
A test of trophic cascade theory: fish and benthic assemblages across a predator density gradient on coral reefs|Casey, Jordan M.; Baird, Andrew H.; Brandl, Simon J.; Hoogenboom, Mia O.; Rizzari, Justin R.; Frisch, Ashley J.; Mirbach, Christopher E.; Connolly, Sean R.||||OECOLOGIA|JAN 2017|2017|183|1||||161|175||10.1007/s00442-016-3753-8|||4|2|0|0|0|0|0|4
Spillover but no spillback of two invasive parasitic copepods from invasive Pacific oysters (Crassostrea gigas) to native bivalve hosts|Goedknegt, M. Anouk; Schuster, Anne-Karin; Buschbaum, Christian; Gergs, Rene; Jung, A. Sarina; Luttikhuizen, Pieternella C.; van der Meer, Jaap; Troost, Karin; Wegner, K. Mathias; Thieltges, David W.||||BIOLOGICAL INVASIONS|JAN 2017|2017|19|1||||365|379||10.1007/s10530-016-1285-0|||0|0|0|0|0|0|0|0
Juvenile Chinook Salmon abundance in the northern Bering Sea: Implications for future returns and fisheries in the Yukon River|Murphy, James M.; Howard, Kathrine G.; Gann, Jeanette C.; Cieciel, Kristin C.; Templin, William D.; Guthrie, Charles M., III||||DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY|JAN 2017|2017|135|||||156|167||10.1016/j.dsr2.2016.06.002|||1|0.5|0|0|0|0|1|0
Boldness towards novel objects predicts predator inspection in wild vervet monkeys|Blaszczyk, Maryjka B.||||ANIMAL BEHAVIOUR|JAN 2017|2017|123|||||91|100||10.1016/j.anbehav.2016.10.017|||0|0|0|0|0|0|0|0
Disassembly of a tadpole community by a multi-host fungal pathogen with limited evidence of recovery|DiRenzo, Graziella V.; Che-Castaldo, Christian; Rugenski, Amanda; Brenes, Roberto; Whiles, Matt R.; Pringle, Catherine M.; Kilham, Susan S.; Lips, Karen R.||||ECOLOGICAL APPLICATIONS|JAN 2017|2017|27|1||||309|320||10.1002/eap.1443|||0|0|0|0|0|0|0|0
Seed density and waterfowl use of rice fields in Camargue, France|Pernollet, Claire A.; Cavallo, Francois; Simpson, David; Gauthier-Clerc, Michel; Guillemain, Matthieu||||JOURNAL OF WILDLIFE MANAGEMENT|JAN 2017|2017|81|1||||96|111||10.1002/jwmg.21167|||0|0|0|0|0|0|0|0
An integrated pest control strategy against the Asian tiger mosquito in northern Italy: a case study|Baldacchino, Frederic; Bussola, Francesca; Arnoldi, Daniele; Marcantonio, Matteo; Montarsi, Fabrizio; Capelli, Gioia; Rosa, Roberto; Rizzoli, Annapaola||||PEST MANAGEMENT SCIENCE|JAN 2017|2017|73|1||||87|93||10.1002/ps.4417|||2|1|0|0|0|0|0|2
Temporally varying natural mortality: Sensitivity of a virtual population analysis and an exploration of alternatives|Allen, Shanae D.; Satterthwaite, William H.; Hankin, David G.; Cole, Diana J.; Mohr, Michael S.||||FISHERIES RESEARCH|JAN 2017|2017|185|||||185|197||10.1016/j.fishres.2016.09.002|||0|0|0|0|0|0|0|0
Does one day of drinking matter? 21st birthday drinking predicts subsequent drinking and consequences|Geisner, Irene M.; Lewis, Melissa A.; Rhew, Isaac C.; Mittmann, Angela J.; Larimer, Mary E.; Lee, Christine M.||||ADDICTIVE BEHAVIORS|JAN 2017|2017|64|||||57|61||10.1016/j.addbeh.2016.08.006|||0|0|0|0|0|0|0|0
Modelling tree recruitment in relation to climate and competition in semi-natural Larix-Picea-Abies forests in northeast China|Xiang, Wei; Lei, Xiangdong; Zhang, Xiongqing||||FOREST ECOLOGY AND MANAGEMENT|DEC 15 2016|2016|382|||||100|109||10.1016/j.foreco.2016.09.050|||1|0.33|0|0|0|0|0|1
Land use and household energy dynamics in Malawi|Jagger, Pamela; Perez-Heydrich, Carolina||||ENVIRONMENTAL RESEARCH LETTERS|DEC 2016|2016|11|12||||||125004|10.1088/1748-9326/11/12/125004|||3|1|0|0|0|0|0|3
A comparison of fisheries biological reference points estimated from temperature-specific multi-species and single-species climate-enhanced stock assessment models|Holsman, Kirstin K.; Ianelli, James; Aydin, Kerim; Punt, Andre E.; Moffitt, Elizabeth A.||||DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY|DEC 2016|2016|134|||||360|378||10.1016/j.dsr2.2015.08.001|||10|3.33|0|0|0|0|6|4
Survival and metamorphosis of larval sea lamprey (Petromyzon marinus) residing in Lakes Michigan and Huron near river mouths|Johnson, Nicholas S.; Brenden, Travis O.; Swink, William D.; Lipps, Mathew A.||||JOURNAL OF GREAT LAKES RESEARCH|DEC 2016|2016|42|6||||1461|1469||10.1016/j.jglr.2016.09.003|||2|0.67|0|0|0|0|0|2
A multispecies biomass dynamics model for investigating predator-prey interactions in the Bering Sea groundfish community|Uchiyama, Tadayasu; Kruse, Gordon H.; Mueter, Franz J.||||DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY|DEC 2016|2016|134|||||331|349||10.1016/j.dsr2.2015.04.019|||3|1|0|0|0|0|3|0
Multi-model inference for incorporating trophic and climate uncertainty into stock assessments|Ianelli, James; Holsman, Kirstin K.; Punt, Andre E.; Aydin, Kerim||||DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY|DEC 2016|2016|134|||||379|389||10.1016/j.dsr2.2015.04.002|||7|2.33|0|0|0|0|5|2
Evolutionary consequences of ecological factors: pollinator reliability predicts mating-system traits of a perennial plant|Opedal, Oystein H.; Albertsen, Elena; Armbruster, W. Scott; Perez-Barrales, Rocio; Falahati-Anbaran, Mohsen; Pelabon, Christophe||||ECOLOGY LETTERS|DEC 2016|2016|19|12||||1486|1495||10.1111/ele.12701|||4|1.33|0|0|0|0|0|4
Indirect effects and prey behavior mediate interactions between an endangered prey and recovering predator|Lee, L. C.; Watson, J. C.; Trebilco, R.; Salomon, A. K.||||ECOSPHERE|DEC 2016|2016|7|12||||||e01604|10.1002/ecs2.1604|||0|0|0|0|0|0|0|0
How many of Australia's stock assessments can be conducted using stock assessment packages?|Dichmont, Catherine M.; Deng, Roy A.; Punt, Andre E.||||MARINE POLICY|DEC 2016|2016|74|||||279|287||10.1016/j.marpol.2016.09.033|||1|0.33|0|0|0|0|0|0
Cerebral Microembolization During Aortic Valve Replacement Using Minimally Invasive or Conventional Extracorporeal Circulation: A Randomized Trial|Basciani, Reto; Kroeninger, Felix; Gygax, Erich; Jenni, Hansjorg; Reineke, David; Stucki, Monika; Hagenbuch, Niels; Carrel, Thierry; Eberle, Balthasar; Erdoes, Gabor||||ARTIFICIAL ORGANS|DEC 2016|2016|40|12||||E280|E291||10.1111/aor.12744|||2|0.67|0|0|0|0|0|2
Associational resistance or susceptibility: the indirect interaction between chemically-defended and non-defended herbivore prey via a shared predator|Nesbit, Christopher M.; Menendez, Rosa; Roberts, Mike R.; Wilby, Andrew||||OIKOS|DEC 2016|2016|125|12||||1802|1811||10.1111/oik.03157|||0|0|0|0|0|0|0|0
Trade-offs in transitions between indigenous and commercial fishing sectors: the Torres Strait tropical rock lobster fishery|Hutton, T.; van Putten, E. I.; Pascoe, S. D.; Deng, R. A.; Plaganyi, E. E.; Dennis, D.||||FISHERIES MANAGEMENT AND ECOLOGY|DEC 2016|2016|23|6||||463|477||10.1111/fme.12186|||0|0|0|0|0|0|0|0
Improving stock assessments through data prioritization|Siegfried, Kate I.; Williams, Erik H.; Shertzer, Kyle W.; Coggins, Lewis G.||||CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES|DEC 2016|2016|73|12||||1703|1711||10.1139/cjfas-2015-0398|||0|0|0|0|0|0|0|0
Effects of traditional salt placement and strategically placed mineral mix supplements oncattle distribution in the Western Italian Alps|Pittarello, M.; Probo, M.; Lonati, M.; Bailey, D. W.; Lombardi, G.||||GRASS AND FORAGE SCIENCE|DEC 2016|2016|71|4||||529|539||10.1111/gfs.12196|||3|1|0|0|0|0|1|2
Modeling local spatial patterns of wild bee diversity in Pennsylvania apple orchards|Kammerer, Melanie A.; Biddinger, David J.; Joshi, Neelendra K.; Rajotte, Edwin G.; Mortensen, David A.||||LANDSCAPE ECOLOGY|DEC 2016|2016|31|10||||2459|2469||10.1007/s10980-016-0416-4|||1|0.33|0|0|0|0|0|0
Winter Activity of Coastal Plain Populations of Bat Species Affected by White-Nose Syndrome and Wind Energy Facilities|Grider, John F.; Larsen, Angela L.; Homyack, Jessica A.; Kalcounis-Rueppell, Matina C.||||PLOS ONE|NOV 16 2016|2016|11|11||||||e0166512|10.1371/journal.pone.0166512|||1|0.33|0|0|0|0|0|1
Genomic Consequences of Population Decline in the Endangered Florida Scrub-Jay|Chen, Nancy; Cosgrove, Elissa J.; Bowman, Reed; Fitzpatrick, John W.; Clark, Andrew G.||||CURRENT BIOLOGY|NOV 7 2016|2016|26|21||||2974|2979||10.1016/j.cub.2016.08.062|||3|1|0|0|0|0|0|3
Concentrating or scattering management in agricultural landscapes: Examining the effectiveness and efficiency of conservation measures|Hammers, Martijn; Muskens, Gerard J. D. M.; van Kats, Ruud J. M.; Teunissen, Wolf A.; Kleijn, David||||AGRICULTURE ECOSYSTEMS & ENVIRONMENT|NOV 1 2016|2016|235|||||51|60||10.1016/j.agee.2016.10.005|||0|0|0|0|0|0|0|0
Female fruit production depends on female flower production and crown size rather than male density in a continuous population of a tropical dioecious tree (Virola surinamensis)|Riba-Hernandez, Pablo; Lobo Segura, Jorge; Munoz-Valverde, Jenny||||AMERICAN JOURNAL OF BOTANY|NOV 2016|2016|103|11||||1990|1999||10.3732/ajb.1600230|||0|0|0|0|0|0|0|0
A 25-year marine reserve as proxy for the unfished condition of an exploited species|Diaz, David; Mallol, Sandra; Parma, Ana M.; Goni, Raquel||||BIOLOGICAL CONSERVATION|NOV 2016|2016|203|||||97|107||10.1016/j.biocon.2016.09.002|||0|0|0|0|0|0|0|0
Short-term and long-term effects of acute kidney injury in chronic kidney disease patients: A longitudinal analysis|Asar, Ozgur; Ritchie, James; Kalra, Philip A.; Diggle, Peter J.||||BIOMETRICAL JOURNAL|NOV 2016|2016|58|6||||1552|1566||10.1002/bimj.201500270|||1|0.33|0|0|0|0|0|1
Habitat restoration alters adult butterfly morphology and potential fecundity through effects on host plant quality|Sivakoff, Frances S.; Morris, William F.; Aschehoug, Erik T.; Hudgens, Brian R.; Haddad, Nick M.||||ECOSPHERE|NOV 2016|2016|7|11||||||e01522|10.1002/ecs2.1522|||0|0|0|0|0|0|0|0
Modeling zero-modified count and semicontinuous data in health services research Part 1: background and overview|Neelon, Brian; O'Malley, A. James; Smith, Valerie A.||||STATISTICS IN MEDICINE|NOV 2016|2016|35|27||||5070|5093||10.1002/sim.7050|||1|0.33|0|0|0|0|0|1
Weak link between dispersal and parasite community differentiation or immunogenetic divergence in two sympatric cichlid fishes|Hablutzel, P. I.; Gregoir, A. F.; Vanhove, M. P. M.; Volckaert, F. A. M.; Raeymaekers, J. A. M.||||MOLECULAR ECOLOGY|NOV 2016|2016|25|21||||5451|5466||10.1111/mec.13833|||1|0.33|0|0|0|0|0|1
Seasonal changes in neophobia and its consistency in rooks: the effect of novelty type and dominance position|Greggor, Alison L.; Jolles, Jolle W.; Thornton, Alex; Clayton, Nicola S.||||ANIMAL BEHAVIOUR|NOV 2016|2016|121|||||11|20||10.1016/j.anbehav.2016.08.010|||3|1|0|0|0|0|0|3
The Influence of Parental Status on Courtship Effort in a Paternal Caring Fish|Deal, Nicholas D. S.; Gravolin, Isaac; Wong, Bob B. M.||||ETHOLOGY|NOV 2016|2016|122|11||||902|911||10.1111/eth.12561|||0|0|0|0|0|0|0|0
The effect of anthropogenic disturbance on non-native plant species in Madagascar|Gudiel, A. Andrea; Nieves, Shane C.; Reuter, Kim E.; Sewall, Brent J.||||JOURNAL OF TROPICAL ECOLOGY|NOV 2016|2016|32||6|||543|554||10.1017/S0266467416000481|||1|0.33|0|0|0|0|0|1
Can autocorrelated recruitment be estimated using integrated assessment models and how does it affect population forecasts?|Johnson, Kelli F.; Councill, Elizabeth; Thorson, James T.; Brooks, Elizabeth; Methot, Richard D.; Punt, Andre E.||||FISHERIES RESEARCH|NOV 2016|2016|183|||||222|232||10.1016/j.fishres.2016.06.004|||2|0.67|0|0|0|0|0|2
Using a length-based stock assessment model to evaluate population structure hypotheses of nylon shrimp Heterocarpus reedi (Decapoda, Caridea) exploited off central Chile|Canales, Cristian M.; Company, Joan B.; Arana, Patricio M.||||FISHERIES RESEARCH|NOV 2016|2016|183|||||360|370||10.1016/j.fishres.2016.06.020|||0|0|0|0|0|0|0|0
A review of stock assessment packages in the United States|Dichmont, Catherine M.; Deng, Roy A.; Punt, Andre E.; Brodziak, Jon; Chang, Yi-Jay; Cope, Jason M.; Ianelli, James N.; Legault, Christopher M.; Methot, Richard D., Jr.; Porch, Clay E.; Prager, Michael H.; Shertzer, Kyle W.||||FISHERIES RESEARCH|NOV 2016|2016|183|||||447|460||10.1016/j.fishres.2016.07.001|||3|1|0|0|0|0|1|2
Casal2: New Zealand's integrated population modelling tool|Doonan, Ian; Large, Kath; Dunn, Alistair; Rasmussen, Scott; Marsh, Craig; Mormede, Sophie||||FISHERIES RESEARCH|NOV 2016|2016|183|||||498|505||10.1016/j.fishres.2016.04.024|||2|0.67|0|0|0|0|1|1
Vaccination of goats against Haemonchus contortus with the gut membrane proteins H11/H-gal-GP|Meier, Lorena; Torgerson, Paul R.; Hertzberg, Hubertus||||VETERINARY PARASITOLOGY|OCT 15 2016|2016|229|||||15|21||10.1016/j.vetpar.2016.08.024|||1|0.33|0|0|0|0|0|1
Interannual and Spatial Variability in Maturity ofWalleye Pollock Gadus chalcogrammus and Implications for Spawning Stock Biomass Estimates in the Gulf of Alaska|Williams, Benjamin C.; Kruse, Gordon H.; Dorn, Martin W.||||PLOS ONE|OCT 13 2016|2016|11|10||||||e0164797|10.1371/journal.pone.0164797|||0|0|0|0|0|0|0|0
The Andean Forest Soil Seed Bank in Two Successional Stages in Northeastern Colombia|Milena Gelviz-Gelvez, Sandra; Roberto Sanchez-Montano, Luis; Lopez-Toledo, Leonel; Barragan, Felipe||||BOTANICAL SCIENCES|OCT-DEC 2016|2016|94|4||||713|727||10.17129/botsci.666|||0|0|0|0|0|0|0|0
Patterns in Varroa destructor depend on bee host abundance, availability of natural resources, and climate in Mediterranean apiaries|Leza, M. Mar; Miranda-Chueca, Miguel A.; Purse, Bethan V.||||ECOLOGICAL ENTOMOLOGY|OCT 2016|2016|41|5||||542|553||10.1111/een.12327|||0|0|0|0|0|0|0|0
Participant Recruitment and Engagement in Automated eHealth Trial Registration: Challenges and Opportunities for Recruiting Women Who Experience Violence|Koziol-McLain, Jane; McLean, Christine; Rohan, Maheswaran; Sisk, Rose; Dobbs, Terry; Nada-Raja, Shyamala; Wilson, Denise; Vandal, Alain C.||||JOURNAL OF MEDICAL INTERNET RESEARCH|OCT 2016|2016|18|10||||||e281|10.2196/jmir.6515|||1|0.33|0|0|0|0|0|1
Comparing diversity to flower-bee interaction networks reveals unsuccessful foraging of native bees in disturbed habitats|Carman, Karlie; Jenkins, David G.||||BIOLOGICAL CONSERVATION|OCT 2016|2016|202|||||110|118||10.1016/j.biocon.2016.08.030|||1|0.33|0|0|0|0|0|1
Seed dispersal potential by wild mallard duck as estimated from digestive tract analysis|Kleyheeg, Erik; Klaassen, Marcel; Soons, Merel B.||||FRESHWATER BIOLOGY|OCT 2016|2016|61|10||||1746|1758||10.1111/fwb.12814|||2|0.67|0|0|0|0|0|2
Effects of Water Loss on New Mexico Spadefoot Toad (Spea multiplicata) Development, Spleen Cellularity, and Corticosterone Levels|Bagwill, April L.; Lovern, Matthew B.; Worthington, Thomas A.; Smith, Loren M.; Mcmurry, Scott T.||||JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL GENETICS AND PHYSIOLOGY|OCT 2016|2016|325|8||||548|561||10.1002/jez.2049|||0|0|0|0|0|0|0|0
